Monoidal category,Q1945014
Topological space,Q179899
Small category,Q719395
Distributive law,Q187959
Abelian category,Q318737
Symmetric monoidal category,Q17103860
Weak equivalence,Q17104639
Crossed module,Q5188565
Simplicial set,Q1467124
Natural transformation,Q1442189
Right adjoint,Q357858
Universal property,Q1417809
Full subcategory,Q541563
Abelian group,Q181296
Universal algebra,Q1636734
Internal category,Q6047782
Geometric morphism,Q2143621
Differential geometry,Q188444
Regular epimorphism,Q1347208
Left adjoint,Q357858
Metric space,Q180953
Exact category,Q5419218
Complete category,Q4370335
Exact completion,Q28403300
Exact sequence,Q1326955
Commutative ring,Q858656
Cubical set,Q25098845
Linear logic,Q841728
Extensive category,Q55611299
Regular category,Q2844249
Closed category,Q5135329
Central extension,Q3041173
Monoidal functor,Q6901642
Presheaf category,Q7241077
Finite group,Q1057968
Finite set,Q272404
Accessible category,Q4672496
Continuous map,Q170058
Fibrant object,Q5446408
Principal bundle,Q1365548
Lax functor,Q18345526
Projective object,Q2112502
Algebraic geometry,Q180969
Inverse semigroup,Q3022118
Smooth map,Q868473
Homological algebra,Q579978
Reflective subcategory,Q6101219
Boolean algebra,Q173183
Free algebra,Q5500180
Continuous function,Q170058
Terminal object,Q529752
Algebraic topology,Q212803
Representable functor,Q386320
Enriched category,Q5379515
Smooth manifold,Q3552958
Elementary topos,Q2143621
Synthetic differential geometry,Q7662747
Strong monoidal functor,Q6901642
Categorical model,Q15830473
Associative algebra,Q744960
Fundamental groupoid,Q662830
Forgetful functor,Q2646117
Spectral space,Q7575210
Split extension,Q3041173
